"CustomerID","AccountNumber","CustomerFullname","TotalOrder","TotalRevenue"
11000,AW00011000,Jon V Yang,3,"824899.0000"
11001,AW00011001,Eugene L Huang,3,"638388.0000"
11002,AW00011002,Ruben  Torres,3,"811404.0000"
11003,AW00011003,Christy  Zhu,3,"813929.0000"
11004,AW00011004,Elizabeth  Johnson,3,"819601.0000"
11005,AW00011005,Julio  Ruiz,3,"812133.0000"
11006,AW00011006,Janet G Alvarez,3,"811903.0000"
11007,AW00011007,Marco  Mehta,3,"821100.0000"
11008,AW00011008,Rob  Verhoff,3,"810631.0000"
11009,AW00011009,Shannon C Carlson,3,"809133.0000"
11010,AW00011010,Jacquelyn C Suarez,3,"808804.0000"
11011,AW00011011,Curtis  Lu,3,"813304.0000"
11012,AW00011012,Lauren M Walker,2,"8126.0000"
11013,AW00011013,Ian M Jenkins,2,"11396.0000"
11014,AW00011014,Sydney  Bennett,2,"13845.0000"
11015,AW00011015,Chloe  Young,1,"250097.0000"
11016,AW00011016,Wyatt L Hill,1,"233228.0000"
11017,AW00011017,Shannon  Wang,3,"643431.0000"
11018,AW00011018,Clarence D Rai,3,"653328.0000"
11019,AW00011019,Luke L Lal,17,"88270.0000"
11020,AW00011020,Jordan C King,1,"231697.0000"
11021,AW00011021,Destiny  Wilson,1,"237196.0000"
11022,AW00011022,Ethan G Zhang,1,"232228.0000"
11023,AW00011023,Seth M Edwards,2,"12224.0000"
11024,AW00011024,Russell  Xie,2,"5651.0000"
11025,AW00011025,Alejandro  Beck,3,"657680.0000"
11026,AW00011026,Harold  Sai,3,"657579.0000"
11027,AW00011027,Jessie R Zhao,3,"659157.0000"
11028,AW00011028,Jill  Jimenez,3,"647462.0000"
11029,AW00011029,Jimmy L Moreno,3,"656529.0000"
11030,AW00011030,Bethany G Yuan,3,"647132.0000"
11031,AW00011031,Theresa G Ramos,3,"647860.0000"
11032,AW00011032,Denise  Stone,3,"652556.0000"
11033,AW00011033,Jaime  Nath,3,"649529.0000"
11034,AW00011034,Ebony  Gonzalez,3,"649132.0000"
11035,AW00011035,Wendy  Dominguez,3,"645131.0000"
11036,AW00011036,Jennifer C Russell,1,"235498.0000"
11037,AW00011037,Chloe M Garcia,1,"237423.0000"
11038,AW00011038,Diana F Hernandez,3,"643733.0000"
11039,AW00011039,Marc J Martin,3,"663658.0000"
11040,AW00011040,Jesse  Murphy,1,"235096.0000"
11041,AW00011041,Amanda M Carter,1,"238047.0000"
11042,AW00011042,Megan J Sanchez,2,"311233.0000"
11043,AW00011043,Nathan M Simmons,2,"4798.0000"
11044,AW00011044,Adam L Flores,3,"651530.0000"
11045,AW00011045,Leonard G Nara,2,"11496.0000"
11046,AW00011046,Christine  Yuan,3,"661681.0000"
11047,AW00011047,Jaclyn D Lu,3,"658233.0000"
11048,AW00011048,Jeremy  Powell,3,"649824.0000"
11049,AW00011049,Carol C Rai,2,"8126.0000"
11050,AW00011050,Alan  Zheng,3,"500730.0000"
11051,AW00011051,Daniel  Johnson,2,"12395.0000"
11052,AW00011052,Heidi  Lopez,3,"813132.0000"
11053,AW00011053,Ana E Price,1,"232998.0000"
11054,AW00011054,Deanna  Munoz,3,"822302.0000"
11055,AW00011055,Gilbert  Raje,3,"816801.0000"
11056,AW00011056,Michele L Nath,3,"820750.0000"
11057,AW00011057,Carl J Andersen,3,"808804.0000"
11058,AW00011058,Marc  Diaz,3,"824802.0000"
11059,AW00011059,Ashlee J Andersen,3,"11693.0000"
11060,AW00011060,Jon L Zhou,3,"815302.0000"
11061,AW00011061,Todd M Gao,3,"812902.0000"
11062,AW00011062,Noah D Powell,1,"235196.0000"
11063,AW00011063,Angela  Murphy,1,"237295.0000"
11064,AW00011064,Chase  Reed,1,"230498.0000"
11065,AW00011065,Jessica  Henderson,2,"20257.0000"
11066,AW00011066,Grace T Butler,2,"8126.0000"
11067,AW00011067,Caleb F Carter,2,"10575.0000"
11068,AW00011068,Tiffany  Liang,3,"11336.0000"
11069,AW00011069,Carolyn  Navarro,3,"810405.0000"
11070,AW00011070,Willie T Raji,3,"816555.0000"
11071,AW00011071,Linda  Serrano,3,"11023.0000"
11072,AW00011072,Casey  Luo,3,"819400.0000"
11073,AW00011073,Amy  Ye,3,"19190.0000"
11074,AW00011074,Levi A Arun,3,"9419.0000"
11075,AW00011075,Felicia L Jimenez,3,"806803.0000"
11076,AW00011076,Blake  Anderson,3,"815904.0000"
11077,AW00011077,Leah  Ye,3,"816903.0000"
11078,AW00011078,Gina E Martin,17,"91327.0000"
11079,AW00011079,Donald  Gonzalez,3,"5795.0000"
11080,AW00011080,Damien  Chander,3,"820402.0000"
11081,AW00011081,Savannah C Baker,2,"10426.0000"
11082,AW00011082,Angela L Butler,2,"311081.0000"
11083,AW00011083,Alyssa F Cox,2,"313732.0000"
11084,AW00011084,Lucas  Phillips,2,"307861.0000"
11085,AW00011085,Emily  Johnson,2,"12896.0000"
11086,AW00011086,Ryan  Brown,2,"15345.0000"
11087,AW00011087,Tamara L Liang,2,"20028.0000"
11088,AW00011088,Hunter  Davis,2,"317678.0000"
11089,AW00011089,Abigail M Price,2,"318828.0000"
11090,AW00011090,Trevor  Bryant,3,"670408.0000"
11091,AW00011091,Dalton  Perez,28,"118933.0000"
11092,AW00011092,Cheryl A Diaz,3,"811002.0000"
11093,AW00011093,Aimee A He,3,"818000.0000"
11094,AW00011094,Cedric W Ma,3,"23589.0000"
11095,AW00011095,Chad  Kumar,3,"815801.0000"
11096,AW00011096,Andrés  Anand,3,"806304.0000"
11097,AW00011097,Edwin R Nara,3,"809903.0000"
11098,AW00011098,Mallory S Rubio,3,"8896.0000"
11099,AW00011099,Adam  Ross,3,"821599.0000"
11100,AW00011100,Latasha L Navarro,3,"817251.0000"
11101,AW00011101,Abby L Sai,3,"826252.0000"
11102,AW00011102,Julia L Nelson,3,"10291.0000"
11103,AW00011103,Cassie  Chande,3,"818250.0000"
11104,AW00011104,Edgar A Sara,3,"817303.0000"
11105,AW00011105,Candace  Fernandez,3,"809599.0000"
11106,AW00011106,Jessie  Liu,3,"807905.0000"
11107,AW00011107,Bianca  Lin,3,"817101.0000"
11108,AW00011108,Kari C Alvarez,3,"812404.0000"
11109,AW00011109,Ruben D Kapoor,3,"824501.0000"
11110,AW00011110,Curtis  Yang,3,"809303.0000"
11111,AW00011111,Meredith T Gutierrez,3,"813700.0000"
11112,AW00011112,Crystal C Wang,3,"829502.0000"
11113,AW00011113,Micheal A Blanco,3,"10988.0000"
11114,AW00011114,Leslie C Moreno,3,"12289.0000"
11115,AW00011115,Alvin D Cai,3,"11371.0000"
11116,AW00011116,Clinton E Carlson,3,"14870.0000"
11117,AW00011117,April  Deng,3,"818499.0000"
11118,AW00011118,Alvin M Zeng,3,"12380.0000"
11119,AW00011119,Evan V James,2,"8522.0000"
11120,AW00011120,Beth H Jiménez,3,"824249.0000"
11121,AW00011121,Orlando  Suarez,3,"5816.0000"
11122,AW00011122,Byron  Vazquez,3,"4293.0000"
11123,AW00011123,Philip A Alvarez,3,"14984.0000"
11124,AW00011124,Ross F Jordan,3,"812902.0000"
11125,AW00011125,Dana J Navarro,3,"7969.0000"
11126,AW00011126,Shaun  Carson,3,"497237.0000"
11127,AW00011127,Jan  Edwards,2,"4398.0000"
11128,AW00011128,Samantha  Long,2,"14394.0000"
11129,AW00011129,Julia M Wright,2,"587326.0000"
11130,AW00011130,Caroline L Russell,1,"3729.0000"
11131,AW00011131,Amanda  Rivera,5,"16591.0000"
11132,AW00011132,Melissa E Richardson,1,"237194.0000"
11133,AW00011133,Angela  Griffin,1,"7196.0000"
11134,AW00011134,Larry D Townsend,3,"491183.0000"
11135,AW00011135,Marcus L Harris,1,"233497.0000"
11136,AW00011136,Brianna D Morgan,1,"238047.0000"
11137,AW00011137,Jasmine A Taylor,2,"20257.0000"
11138,AW00011138,Lauren  Davis,2,"7897.0000"
11139,AW00011139,Tanya  Moreno,2,"8397.0000"
11140,AW00011140,Javier L Alvarez,1,"3999.0000"
11141,AW00011141,Nicole  Ramirez,2,"11396.0000"
11142,AW00011142,Eduardo  Patterson,17,"98077.0000"
11143,AW00011143,Jonathan M Henderson,2,"4856.0000"
11144,AW00011144,Edward  Hernandez,1,"239997.0000"
11145,AW00011145,Jasmine L Coleman,1,"230997.0000"
11146,AW00011146,Karla L Goel,3,"11293.0000"
11147,AW00011147,Ernest L Wu,3,"819550.0000"
11148,AW00011148,Ross  Vazquez,3,"12624.0000"
11149,AW00011149,Theodore  Gill,3,"4126.0000"
11150,AW00011150,Russell M Shen,3,"19242.0000"
11151,AW00011151,Melinda G Gill,3,"808731.0000"
11152,AW00011152,James J Williams,1,"229499.0000"
11153,AW00011153,Angela R James,2,"10977.0000"
11154,AW00011154,Megan G Walker,1,"231999.0000"
11155,AW00011155,Hunter J Robinson,1,"231999.0000"
11156,AW00011156,Maria  Roberts,1,"238997.0000"
11157,AW00011157,Hannah E Long,2,"4128.0000"
11158,AW00011158,Jason K Wright,1,"239596.0000"
11159,AW00011159,Brianna A Hughes,2,"4856.0000"
11160,AW00011160,Maurice M Tang,1,"232228.0000"
11161,AW00011161,Emily  Wood,2,"9395.0000"
11162,AW00011162,Chase  Cox,1,"232998.0000"
11163,AW00011163,Gabriel  Wang,2,"4627.0000"
11164,AW00011164,Devin  Brooks,2,"14476.0000"
11165,AW00011165,Jocelyn  Alexander,2,"10249.0000"
11166,AW00011166,Ashley  Martinez,2,"8796.0000"
11167,AW00011167,Jasmine J Barnes,2,"312633.0000"
11168,AW00011168,David  Rodriguez,2,"313659.0000"
11169,AW00011169,Bryce  Richardson,2,"8126.0000"
11170,AW00011170,Carol T Howard,2,"15723.0000"
11171,AW00011171,Jonathan E Hill,3,"671655.0000"
11172,AW00011172,Gabrielle J Adams,2,"12894.0000"
11173,AW00011173,Sarah F Thomas,2,"10249.0000"
11174,AW00011174,Nicholas  Robinson,2,"4856.0000"
11175,AW00011175,Luis  Wang,3,"671055.0000"
11176,AW00011176,Mason D Roberts,28,"132001.0000"
11177,AW00011177,Jose M Flores,2,"13525.0000"
11178,AW00011178,Nathan J Johnson,2,"14476.0000"
11179,AW00011179,Molly E Rodriguez,2,"12544.0000"
11180,AW00011180,April  Anand,2,"13845.0000"
11181,AW00011181,Devin P Martin,2,"4128.0000"
11182,AW00011182,Stephanie  Torres,2,"8126.0000"
11183,AW00011183,Jasmine W Lee,2,"4627.0000"
11184,AW00011184,Meghan  Hernandez,2,"6825.0000"
11185,AW00011185,Ashley  Henderson,27,"161631.0000"
11186,AW00011186,Sarah C Price,2,"4128.0000"
11187,AW00011187,Jennifer S Cooper,2,"10748.0000"
11188,AW00011188,Catherine  Morris,2,"8126.0000"
11189,AW00011189,Lawrence W Blanco,2,"594422.0000"
11190,AW00011190,Carson  Bryant,2,"4627.0000"
11191,AW00011191,Kristi E Perez,3,"674358.0000"
11192,AW00011192,James C Brown,2,"11396.0000"
11193,AW00011193,Ian A Gray,2,"4128.0000"
11194,AW00011194,Jacqueline R Price,2,"10575.0000"
11195,AW00011195,Megan  Henderson,2,"10575.0000"
11196,AW00011196,Alfredo  Romero,2,"16228.0000"
11197,AW00011197,Andrea  Morris,2,"20756.0000"
11198,AW00011198,Brooke  Sanders,2,"9847.0000"
11199,AW00011199,Jacqueline  Bennett,2,"13175.0000"
11200,AW00011200,Jason L Griffin,27,"146338.0000"
11201,AW00011201,Amanda  Foster,2,"18094.0000"
11202,AW00011202,Alexia L Price,2,"7398.0000"
11203,AW00011203,Luis D Diaz,17,"80177.0000"
