"Year","Month","CustomerID","CustomerFullName","EmployeeMonthAmount"
2011,5,29646,Stacey M. Cereghino,"204723250.0000"
2011,5,29614,Ryan  Calafato,"188087628.0000"
2011,5,29992,Sandra B. Maynard,"163618199.0000"
2011,5,29994,Robin M. McGuigan,"148778057.0000"
2011,5,29661,Charles M. Christensen,"83848110.0000"
2011,6,19942,Armando  Navarro,"6990982.0000"
2011,6,17956,Jaime  Gomez,"6990982.0000"
2011,6,25250,Anthony T Walker,"6990982.0000"
2011,6,25249,Alexandra H Watson,"6990982.0000"
2011,6,17957,Misty J Yuan,"6990982.0000"
2011,6,14559,Ashley  Washington,"6990982.0000"
2011,6,14510,Samuel R Hernandez,"6990982.0000"
2011,6,14560,Kelvin  Huang,"6990982.0000"
2011,6,25252,Warren L Zhang,"6990982.0000"
2011,6,20042,Brad D Deng,"6990982.0000"
2011,6,26620,Isabella  Green,"6990982.0000"
2011,6,19941,Cedric R Liang,"6990982.0000"
2011,6,14520,Bonnie C Xu,"6990982.0000"
2011,6,14558,Marcel  Truempy,"6990982.0000"
2011,7,29624,Joseph J. Cantoni,"644208677.0000"
2011,7,29861,Phyllis R. Huntsman,"419050939.0000"
2011,7,29705,Della F. Demott Jr,"220310839.0000"
2011,7,29703,Stefan  Delmarco,"203954123.0000"
2011,7,29510,Cecil J. Allison,"134892822.0000"
2011,8,29690,Conor  Cunningham,"312598000.0000"
2011,8,29614,Ryan  Calafato,"264499948.0000"
2011,8,29966,Richard  Lum,"204553591.0000"
2011,8,29646,Stacey M. Cereghino,"196897591.0000"
2011,8,29992,Sandra B. Maynard,"191091968.0000"
2011,9,14601,Nicolas A Rai,"6990982.0000"
2011,9,14603,Sara  Ward,"6990982.0000"
2011,9,25563,Natasha  Serrano,"6990982.0000"
2011,9,14610,Lauren S Jenkins,"6990982.0000"
2011,9,19340,Renee  Dominguez,"6990982.0000"
2011,9,25561,Micah A Zeng,"6990982.0000"
2011,9,26630,Vanessa  Powell,"6990982.0000"
2011,9,14602,Kaylee W Kelly,"6990982.0000"
2011,9,14596,Amber W Hill,"6990982.0000"
2011,9,25562,Bonnie R Sharma,"6990982.0000"
2011,9,20150,Gary M Rubio,"6990982.0000"
2011,9,19353,Desiree  Gill,"6990982.0000"
2011,9,14599,Charles A Wilson,"6990982.0000"
2011,9,20164,Carol Ann F. Rockne,"6990982.0000"
2011,9,14591,Charles E Harris,"6990982.0000"
2011,9,14613,Glenn  Huang,"6990982.0000"
2011,9,26640,Eduardo J Lopez,"6990982.0000"
2011,9,20165,Kristina R Mehta,"6990982.0000"
2011,9,25560,Daisy L Vazquez,"6990982.0000"
2011,10,29624,Joseph J. Cantoni,"578548286.0000"
2011,10,29562,Steven B. Brown,"393098176.0000"
2011,10,29705,Della F. Demott Jr,"337200208.0000"
2011,10,29515,Maxwell J. Amland,"328026577.0000"
2011,10,29966,Richard  Lum,"297091769.0000"
2011,11,14648,Eric M Evans,"6990982.0000"
2011,11,25710,Diana  Gill,"6990982.0000"
2011,11,25707,Louis M Raje,"6990982.0000"
2011,11,19365,Wayne  Shan,"6990982.0000"
2011,11,25706,Francisco S Madan,"6990982.0000"
