"CustomerID","AccountNumber","CustomerFullname","TotalOrder","TotalRevenue"
11000,AW00011000,Jon V Yang,3,8248.989999999998
11001,AW00011001,Eugene L Huang,3,6383.879999999998
11002,AW00011002,Ruben  Torres,3,8114.039999999999
11003,AW00011003,Christy  Zhu,3,8139.289999999999
11004,AW00011004,Elizabeth  Johnson,3,8196.009999999998
11005,AW00011005,Julio  Ruiz,3,8121.33
11006,AW00011006,Janet G Alvarez,3,8119.029999999999
11007,AW00011007,Marco  Mehta,3,8210.999999999998
11008,AW00011008,Rob  Verhoff,3,8106.3099999999995
11009,AW00011009,Shannon C Carlson,3,8091.33
11010,AW00011010,Jacquelyn C Suarez,3,8088.039999999999
11011,AW00011011,Curtis  Lu,3,8133.039999999999
11012,AW00011012,Lauren M Walker,2,81.26
11013,AW00011013,Ian M Jenkins,2,113.96000000000001
11014,AW00011014,Sydney  Bennett,2,138.45
11015,AW00011015,Chloe  Young,1,2500.97
11016,AW00011016,Wyatt L Hill,1,2332.2799999999997
11017,AW00011017,Shannon  Wang,3,6434.3099999999995
11018,AW00011018,Clarence D Rai,3,6533.279999999999
11019,AW00011019,Luke L Lal,17,882.7
11020,AW00011020,Jordan C King,1,2316.97
11021,AW00011021,Destiny  Wilson,1,2371.9599999999996
11022,AW00011022,Ethan G Zhang,1,2322.2799999999997
11023,AW00011023,Seth M Edwards,2,122.24000000000001
11024,AW00011024,Russell  Xie,2,56.510000000000005
11025,AW00011025,Alejandro  Beck,3,6576.799999999999
11026,AW00011026,Harold  Sai,3,6575.789999999999
11027,AW00011027,Jessie R Zhao,3,6591.569999999999
11028,AW00011028,Jill  Jimenez,3,6474.62
11029,AW00011029,Jimmy L Moreno,3,6565.289999999999
11030,AW00011030,Bethany G Yuan,3,6471.32
11031,AW00011031,Theresa G Ramos,3,6478.599999999999
11032,AW00011032,Denise  Stone,3,6525.5599999999995
11033,AW00011033,Jaime  Nath,3,6495.289999999999
11034,AW00011034,Ebony  Gonzalez,3,6491.32
11035,AW00011035,Wendy  Dominguez,3,6451.3099999999995
11036,AW00011036,Jennifer C Russell,1,2354.9799999999996
11037,AW00011037,Chloe M Garcia,1,2374.229999999999
11038,AW00011038,Diana F Hernandez,3,6437.33
11039,AW00011039,Marc J Martin,3,6636.579999999999
11040,AW00011040,Jesse  Murphy,1,2350.9599999999996
11041,AW00011041,Amanda M Carter,1,2380.47
11042,AW00011042,Megan J Sanchez,2,3112.33
11043,AW00011043,Nathan M Simmons,2,47.980000000000004
11044,AW00011044,Adam L Flores,3,6515.299999999999
11045,AW00011045,Leonard G Nara,2,114.96000000000001
11046,AW00011046,Christine  Yuan,3,6616.8099999999995
11047,AW00011047,Jaclyn D Lu,3,6582.33
11048,AW00011048,Jeremy  Powell,3,6498.24
11049,AW00011049,Carol C Rai,2,81.26
11050,AW00011050,Alan  Zheng,3,5007.3
11051,AW00011051,Daniel  Johnson,2,123.95
11052,AW00011052,Heidi  Lopez,3,8131.32
11053,AW00011053,Ana E Price,1,2329.9799999999996
11054,AW00011054,Deanna  Munoz,3,8223.019999999999
11055,AW00011055,Gilbert  Raje,3,8168.009999999999
11056,AW00011056,Michele L Nath,3,8207.499999999998
11057,AW00011057,Carl J Andersen,3,8088.039999999999
11058,AW00011058,Marc  Diaz,3,8248.019999999999
11059,AW00011059,Ashlee J Andersen,3,116.92999999999999
11060,AW00011060,Jon L Zhou,3,8153.0199999999995
11061,AW00011061,Todd M Gao,3,8129.019999999999
11062,AW00011062,Noah D Powell,1,2351.9599999999996
11063,AW00011063,Angela  Murphy,1,2372.95
11064,AW00011064,Chase  Reed,1,2304.9799999999996
11065,AW00011065,Jessica  Henderson,2,202.57
11066,AW00011066,Grace T Butler,2,81.26
11067,AW00011067,Caleb F Carter,2,105.75
11068,AW00011068,Tiffany  Liang,3,113.36
11069,AW00011069,Carolyn  Navarro,3,8104.049999999999
11070,AW00011070,Willie T Raji,3,8165.549999999999
11071,AW00011071,Linda  Serrano,3,110.22999999999999
11072,AW00011072,Casey  Luo,3,8193.999999999998
11073,AW00011073,Amy  Ye,3,191.9
11074,AW00011074,Levi A Arun,3,94.18999999999998
