"Year","Month","CustomerID","CustomerFullName","EmployeeMonthAmount"
2011,5,29497,François  Ferrier,42813.433300000004
2011,5,29958,Run  Liu,39373.78099999999
2011,5,29992,Sandra B. Maynard,38510.897300000004
2011,5,29614,Ryan  Calafato,35944.156200000005
2011,5,29646,Stacey M. Cereghino,33997.370200000005
2011,6,11606,Melody  Ramos,3578.27
2011,6,27615,Maria E Henderson,3578.27
2011,6,16612,Ebony E Ashe,3578.27
2011,6,16494,Jordyn  Simmons,3578.27
2011,6,16525,Martha  Liang,3578.27
2011,7,29624,Joseph J. Cantoni,121761.9396
2011,7,29861,Phyllis R. Huntsman,115696.33132399998
2011,7,29515,Maxwell J. Amland,75191.95989999999
2011,7,29507,Phyllis A. Allen,52803.44769999999
2011,7,29522,Thomas B. Armstrong,51235.009099999996
2011,8,29562,Steven B. Brown,91014.78529999999
2011,8,29580,Richard  Bready,87867.84255
2011,8,29690,Conor  Cunningham,81164.23287600001
2011,8,29722,Reuben  D'sa,73761.52660000003
2011,8,29525,Teresa  Atkinson,66848.38780000001
2011,9,28586,Gabriel  Diaz,3578.27
2011,9,17914,Phillip  Suri,3578.27
2011,9,17917,Cristina S Raje,3578.27
2011,9,17910,Dustin M Nara,3578.27
2011,9,17926,Carolyn  Ramos,3578.27
2011,10,29624,Joseph J. Cantoni,126198.33616800002
2011,10,30111,Ranjit Rudra Varkey Chudukatil,108783.5872
2011,10,29861,Phyllis R. Huntsman,104958.80683600002
2011,10,29562,Steven B. Brown,104111.515642
2011,10,29525,Teresa  Atkinson,99502.03280000003
2011,11,18338,Nina  Andersen,3578.27
2011,11,18702,Adriana  Smith,3578.27
2011,11,29106,Calvin  Beck,3578.27
2011,11,18276,Alexa  Murphy,3578.27
2011,11,13842,Kenneth J Xie,3578.27
2011,12,29825,James  Hendergart,73261.1513
2011,12,29497,François  Ferrier,53033.1921
2011,12,29898,Sandeep  Katyal,40648.38
2011,12,29614,Ryan  Calafato,39547.84764000002
2011,12,29811,Mark  Hanson,38655.486
2012,1,29722,Reuben  D'sa,97078.31550000001
2012,1,29624,Joseph J. Cantoni,89704.272
2012,1,29861,Phyllis R. Huntsman,85994.8887
2012,1,29562,Steven B. Brown,78882.9289
2012,1,29649,Pat A. Chambers,69240.3932
2012,2,29614,Ryan  Calafato,68880.08218000003
2012,2,29811,Mark  Hanson,59103.293300000005
2012,2,29958,Run  Liu,53423.57009999998
2012,2,29994,Robin M. McGuigan,45943.764800000004
2012,2,29497,François  Ferrier,40814.828
2012,3,29861,Phyllis R. Huntsman,101833.41970000001
2012,3,30111,Ranjit Rudra Varkey Chudukatil,100378.9078
2012,3,29624,Joseph J. Cantoni,94327.00219999999
2012,3,29507,Phyllis A. Allen,93834.07659199998
2012,3,29523,John  Arthur,74719.77850000001
2012,4,29486,Kim  Abercrombie,60079.02210000001
2012,4,29921,Joy R. Koski,58977.1342
2012,4,29639,Joseph N. Castellucio,50154.268299999996
2012,4,29967,Judy R. Lundahl,48748.805400000005
2012,4,29715,Andrew  Dixon,48117.91070000001
2012,5,29614,Ryan  Calafato,150837.438737
2012,5,29994,Robin M. McGuigan,120182.18498399999
2012,5,29646,Stacey M. Cereghino,117274.34534200003
2012,5,29689,Scott  Culp,109253.42536400002
2012,5,30000,James L. McCoy,101336.838234
2012,6,30103,Mandy  Vance,147390.93282800005
2012,6,29716,Blaine  Dockter,107356.7904
2012,6,29616,Barbara J. Calone,104881.94140000004
2012,6,30112,Patricia M. Vasquez,93591.62169999999
2012,6,30074,Yuping  Tian,90172.67380000002
2012,7,29701,Kirk  DeGrasse,146154.56525200003
2012,7,29998,Jane A. McCarty,140078.39586599992
2012,7,29957,Kevin  Liu,129261.25404600005
2012,7,29715,Andrew  Dixon,112722.8945
2012,7,29562,Steven B. Brown,112287.2527
2012,8,29772,Janet M. Gates,99514.5024
2012,8,29646,Stacey M. Cereghino,99262.984098
2012,8,29594,Dave P. Browning,86493.38069999997
2012,8,29827,Valerie M. Hendricks,82582.8222
2012,8,29614,Ryan  Calafato,77480.963476
2012,9,30117,Robert R. Vessa,100216.53410000002
2012,9,29716,Blaine  Dockter,97455.66920000002
2012,9,30074,Yuping  Tian,95370.53120000003
2012,9,29616,Barbara J. Calone,95134.09150000004
2012,9,30103,Mandy  Vance,87994.68629200006
2012,10,29701,Kirk  DeGrasse,100452.587726
2012,10,29715,Andrew  Dixon,97962.40239999999
2012,10,29722,Reuben  D'sa,89561.75397600007
2012,10,29639,Joseph N. Castellucio,87693.75669200001
2012,10,29707,Helen J. Dennis,79994.174283
2012,11,29594,Dave P. Browning,85919.84590000003
2012,11,29772,Janet M. Gates,80857.134
2012,11,29827,Valerie M. Hendricks,80097.995
2012,11,29497,François  Ferrier,71599.466452
2012,11,29580,Richard  Bready,63864.70682500001
2012,12,30074,Yuping  Tian,88446.7968
2012,12,29924,Mitch  Kennedy,82168.78620000002
2012,12,29716,Blaine  Dockter,79070.56830000003
2012,12,30117,Robert R. Vessa,78580.1157
2012,12,29616,Barbara J. Calone,74205.00840000002
2013,1,29715,Andrew  Dixon,89758.53940000001
2013,1,29639,Joseph N. Castellucio,86352.4057
2013,1,29701,Kirk  DeGrasse,80564.84919200001
2013,1,29998,Jane A. McCarty,57027.76944399999
2013,1,29722,Reuben  D'sa,47271.12532400001
2013,2,29646,Stacey M. Cereghino,97791.620967
2013,2,29594,Dave P. Browning,96605.9056
2013,2,29827,Valerie M. Hendricks,89596.33219999999
2013,2,29614,Ryan  Calafato,88328.07126800004
2013,2,29994,Robin M. McGuigan,86085.800426
2013,3,29616,Barbara J. Calone,105310.50880000003
2013,3,30112,Patricia M. Vasquez,103362.3362
2013,3,30074,Yuping  Tian,97597.11679999997
