"Year","Month","CustomerID","CustomerFullName","EmployeeMonthAmount","CustomerMonthAmount_LastYear"
2011,5,29497,François  Ferrier,42813.4333,
2011,5,29958,Run  Liu,39373.780999999995,
2011,5,29992,Sandra B. Maynard,38510.8973,
2011,5,29614,Ryan  Calafato,35944.15620000001,
2011,5,29646,Stacey M. Cereghino,33997.370200000005,
2011,6,27577,Patrick K Cook,3578.27,
2011,6,27578,Courtney  Carter,3578.27,
2011,6,27601,Sydney C Rogers,3578.27,
2011,6,27604,Richard  Brooks,3578.27,
2011,6,27605,Miguel  Martinez,3578.27,
2011,7,29624,Joseph J. Cantoni,121761.9396,
2011,7,29861,Phyllis R. Huntsman,115696.33132399998,
2011,7,29515,Maxwell J. Amland,75191.95989999999,
2011,7,29507,Phyllis A. Allen,52803.44769999999,
2011,7,29522,Thomas B. Armstrong,51235.009099999996,
2011,8,29562,Steven B. Brown,91014.78530000002,
2011,8,29580,Richard  Bready,87867.84255,
2011,8,29690,Conor  Cunningham,81164.23287600002,
2011,8,29722,Reuben  D'sa,73761.52660000003,
2011,8,29525,Teresa  Atkinson,66848.38780000001,
2011,9,28355,Carlos  James,3578.27,
2011,9,28362,Kaylee  Sanchez,3578.27,
2011,9,28224,Spencer  Henderson,3578.27,
2011,9,28234,Jack I Nelson,3578.27,
2011,9,28240,Eduardo  Clark,3578.27,
2011,10,29624,Joseph J. Cantoni,126198.33616800001,
2011,10,30111,Ranjit Rudra Varkey Chudukatil,108783.58719999998,
2011,10,29861,Phyllis R. Huntsman,104958.80683599999,
2011,10,29562,Steven B. Brown,104111.51564200001,
2011,10,29525,Teresa  Atkinson,99502.0328,
2011,11,29010,Jennifer L Long,3578.27,
2011,11,29032,Taylor D Ramirez,3578.27,
2011,11,29044,Olivia L Wilson,3578.27,
2011,11,29048,William  Harris,3578.27,
2011,11,29056,Angelica  Griffin,3578.27,
2011,12,29825,James  Hendergart,73261.1513,
2011,12,29497,François  Ferrier,53033.1921,
2011,12,29898,Sandeep  Katyal,40648.38,
2011,12,29614,Ryan  Calafato,39547.84763999999,
2011,12,29811,Mark  Hanson,38655.486,
2012,1,29722,Reuben  D'sa,97078.31550000001,
2012,1,29624,Joseph J. Cantoni,89704.272,
2012,1,29861,Phyllis R. Huntsman,85994.8887,
2012,1,29562,Steven B. Brown,78882.9289,
2012,1,29649,Pat A. Chambers,69240.3932,
2012,2,29614,Ryan  Calafato,68880.08218000003,
2012,2,29811,Mark  Hanson,59103.293300000005,
2012,2,29958,Run  Liu,53423.57009999998,
2012,2,29994,Robin M. McGuigan,45943.764800000004,
2012,2,29497,François  Ferrier,40814.828,
2012,3,29861,Phyllis R. Huntsman,101833.4197,
2012,3,30111,Ranjit Rudra Varkey Chudukatil,100378.90779999999,
2012,3,29624,Joseph J. Cantoni,94327.00219999999,
2012,3,29507,Phyllis A. Allen,93834.07659200003,
2012,3,29523,John  Arthur,74719.77849999999,
2012,4,29486,Kim  Abercrombie,60079.022100000024,
2012,4,29921,Joy R. Koski,58977.134200000015,
2012,4,29639,Joseph N. Castellucio,50154.268299999996,
2012,4,29967,Judy R. Lundahl,48748.805400000005,
2012,4,29715,Andrew  Dixon,48117.91070000001,
2012,5,29614,Ryan  Calafato,150837.438737,35944.15620000001
2012,5,29994,Robin M. McGuigan,120182.18498399999,28832.52890000001
2012,5,29646,Stacey M. Cereghino,117274.34534200002,33997.370200000005
2012,5,29689,Scott  Culp,109253.42536400002,
2012,5,30000,James L. McCoy,101336.838234,
2012,6,30103,Mandy  Vance,147390.93282800005,
2012,6,29716,Blaine  Dockter,107356.79040000003,
2012,6,29616,Barbara J. Calone,104881.94140000003,
2012,6,30112,Patricia M. Vasquez,93591.62169999999,
2012,6,30074,Yuping  Tian,90172.67380000002,
2012,7,29701,Kirk  DeGrasse,146154.56525200003,
2012,7,29998,Jane A. McCarty,140078.39586599992,
2012,7,29957,Kevin  Liu,129261.25404600002,
2012,7,29715,Andrew  Dixon,112722.89450000002,
2012,7,29562,Steven B. Brown,112287.2527,
2012,8,29772,Janet M. Gates,99514.5024,
2012,8,29646,Stacey M. Cereghino,99262.98409799999,42088.8187
2012,8,29594,Dave P. Browning,86493.38069999997,
2012,8,29827,Valerie M. Hendricks,82582.8222,32383.109800000006
2012,8,29614,Ryan  Calafato,77480.963476,43803.14320000001
2012,9,30117,Robert R. Vessa,100216.53410000003,
2012,9,29716,Blaine  Dockter,97455.66919999999,
2012,9,30074,Yuping  Tian,95370.5312,
2012,9,29616,Barbara J. Calone,95134.09150000002,
2012,9,30103,Mandy  Vance,87994.68629200006,
2012,10,29701,Kirk  DeGrasse,100452.58772600001,
2012,10,29715,Andrew  Dixon,97962.40240000002,48156.2081
2012,10,29722,Reuben  D'sa,89561.75397600005,88977.37840000002
2012,10,29639,Joseph N. Castellucio,87693.75669200001,45851.747800000005
2012,10,29707,Helen J. Dennis,79994.174283,
2012,11,29594,Dave P. Browning,85919.84590000001,
2012,11,29772,Janet M. Gates,80857.134,
2012,11,29827,Valerie M. Hendricks,80097.99500000001,
2012,11,29497,François  Ferrier,71599.466452,
2012,11,29580,Richard  Bready,63864.706825,
2012,12,30074,Yuping  Tian,88446.79679999998,
2012,12,29924,Mitch  Kennedy,82168.78620000002,
2012,12,29716,Blaine  Dockter,79070.56830000003,
2012,12,30117,Robert R. Vessa,78580.11570000001,
2012,12,29616,Barbara J. Calone,74205.0084,
2013,1,29715,Andrew  Dixon,89758.53940000001,58704.18220000001
2013,1,29639,Joseph N. Castellucio,86352.40570000002,54458.8986
2013,1,29701,Kirk  DeGrasse,80564.84919200001,
2013,1,29998,Jane A. McCarty,57027.76944399999,
2013,1,29722,Reuben  D'sa,47271.125324,97078.31550000001
2013,2,29646,Stacey M. Cereghino,97791.62096700001,31457.403899999998
2013,2,29594,Dave P. Browning,96605.9056,
2013,2,29827,Valerie M. Hendricks,89596.33220000002,35123.37510000002
2013,2,29614,Ryan  Calafato,88328.07126800001,68880.08218000003
2013,2,29994,Robin M. McGuigan,86085.80042599997,45943.764800000004
2013,3,29616,Barbara J. Calone,105310.50880000003,
2013,3,30112,Patricia M. Vasquez,103362.3362,
2013,3,30074,Yuping  Tian,97597.11680000002,29597.9656
2013,3,29716,Blaine  Dockter,95415.11880000003,62343.99800000001
2013,3,30117,Robert R. Vessa,94673.14170000004,55740.72109999999
2013,4,29701,Kirk  DeGrasse,104482.963303,
2013,4,29715,Andrew  Dixon,96011.09080000002,48117.91070000001
2013,4,29639,Joseph N. Castellucio,95434.9101,50154.268299999996
2013,4,29957,Kevin  Liu,87340.10194500005,
2013,4,29998,Jane A. McCarty,78942.28427600002,
2013,5,29641,Raul E. Casts,163930.39429200004,
2013,5,29987,Frank  Mart¡nez,108651.14259899998,
2013,5,30048,Marcia J. Sultan,98630.27445000001,92716.905941
2013,5,29994,Robin M. McGuigan,97972.19528300002,120182.18498399999
2013,5,29689,Scott  Culp,93397.6369,109253.42536400002
2013,6,29913,Anton  Kirilov,128873.22056200002,55971.13080000001
2013,6,29940,Robertson  Lee,122284.457836,
2013,6,29617,Lindsey R. Camacho,112611.96969200003,42396.4051
2013,6,29712,Holly  Dickson,111036.948667,89273.67925700001
2013,6,29818,Roger  Harui,107270.11875200001,77342.85708400002
2013,7,30050,Krishna  Sunkammurali,115310.47773699998,101725.10377799999
2013,7,30046,Elizabeth J. Sullivan,106929.546072,48267.60200799999
2013,7,29701,Kirk  DeGrasse,105505.39912499998,146154.56525200003
2013,7,29957,Kevin  Liu,104273.01969100002,129261.25404600002
2013,7,29629,Carlton M. Carlisle,96485.43532499997,
2013,8,29641,Raul E. Casts,160378.39133400007,
2013,8,29693,Ryan  Danner,104153.39514000005,
2013,8,30048,Marcia J. Sultan,77394.55908400001,66707.62532800002
2013,8,29987,Frank  Mart¡nez,74321.376884,
2013,8,29994,Robin M. McGuigan,68404.626,73798.96220000004
2013,9,29923,Edward J. Kozlowski,122285.72400000002,
2013,9,29913,Anton  Kirilov,112044.80549999997,60818.351308000005
2013,9,29818,Roger  Harui,110050.83536700002,72224.63842499998
2013,9,29940,Robertson  Lee,93397.73612399999,
2013,9,29564,Mary B. Billstrom,93077.71780500001,
2013,10,29629,Carlton M. Carlisle,97647.72000000003,
2013,10,29796,Jon  Grande,84413.16004300004,
2013,10,29770,Kathleen M. Garza,80691.0075,35251.0065
2013,10,29559,Robert M. Bernacchi,77475.22810800001,44305.48380000002
2013,10,29957,Kevin  Liu,73605.957416,79000.36182500001
2013,11,29641,Raul E. Casts,94493.66514000004,
2013,11,29987,Frank  Mart¡nez,70731.37126800002,
2013,11,29827,Valerie M. Hendricks,61946.28,80097.99500000001
2013,11,29489,Frances B. Adams,57449.60400000003,1394.0205
2013,11,29497,François  Ferrier,57374.439893,71599.466452
2013,12,29923,Edward J. Kozlowski,108184.10400000002,
2013,12,29913,Anton  Kirilov,104325.1067,55911.963568
2013,12,29818,Roger  Harui,86975.06549999998,66265.331292
2013,12,29617,Lindsey R. Camacho,81696.60600000001,50262.906
2013,12,30117,Robert R. Vessa,73270.506,78580.11570000001
2014,1,29770,Kathleen M. Garza,68748.423476,38254.4351
2014,1,29736,Terry  Eminhizer,67831.327076,
2014,1,29639,Joseph N. Castellucio,65622.166992,86352.40570000002
2014,1,29916,Reed  Koch,63645.66037200001,
2014,1,29629,Carlton M. Carlisle,59234.83800000002,
2014,2,16263,Eduardo  Robinson,4800.009999999999,
2014,2,18139,Jennifer  Washington,4763.99,
2014,2,18140,Anthony  White,4740.969999999998,
2014,2,14234,Gina  Romero,3616.2999999999997,
2014,2,14230,Luis L Coleman,3612.7999999999997,2049.0982
2014,3,29641,Raul E. Casts,116153.827837,
2014,3,29923,Edward J. Kozlowski,112312.554,
2014,3,29940,Robertson  Lee,108982.74741600006,
2014,3,29617,Lindsey R. Camacho,106268.23800000004,45674.4609
2014,3,29987,Frank  Mart¡nez,101438.08989300004,
2014,4,12125,Diana  Ortega,4154.03,
2014,4,11047,Jaclyn D Lu,3182.3399999999997,
2014,4,11044,Adam L Flores,3140.31,
2014,4,20713,Kathleen  Gill,2638.9399999999996,
2014,4,16551,Christy M Shan,2589.409999999999,
2014,5,29629,Carlton M. Carlisle,89981.79000000001,
2014,5,29736,Terry  Eminhizer,89869.27631400003,
2014,5,29701,Kirk  DeGrasse,85393.74125800001,
2014,5,29770,Kathleen M. Garza,83076.570924,
2014,5,29715,Andrew  Dixon,80450.37600000002,
2014,6,12606,Arthur A Van,294.42,
2014,6,11501,Brandy P Chandra,268.72,
2014,6,13140,Jamie J Zhu,255.22000000000006,
2014,6,11185,Ashley  Henderson,234.94,
2014,6,11176,Mason D Roberts,213.33,
